id,original,segmented,tagged
219,مدني فعال او اروا پوه سید حبیب دانشیار غونډې ته په وینا کې وویل چې نشه يي توکي د ټولو پټ دښمن دی او پر وړاندې یې هر وګړی مسوولیت لري,مدنيBفعالBاوBارواBپوهBسیدSحبیبSدانشیارBغونډېBتهBپهBویناBکېBوویلBچېBنشهSييBتوکيBدBټولوBپټBدښمنBدیBاوBپرBوړاندېBیېBهرBوګړیBمسوولیتBلري,"[[""مدني"", ""JJ""], [""فعال"", ""JJ""], [""او"", ""CC""], [""اروا"", ""NN.C.1.F""], [""پوه"", ""JJ""], [""سید حبیب دانشیار"", ""NN.P""], [""غونډې"", ""NN.C.1.F""], [""ته"", ""PT""], [""په"", ""IN""], [""وینا"", ""NN.C.1.F""], [""کې"", ""PT""], [""وویل"", ""VB.INF""], [""چې"", ""CC""], [""نشه يي"", ""JJ""], [""توکي"", ""VB.P""], [""د"", ""IN""], [""ټولو"", ""RB""], [""پټ"", ""JJ""], [""دښمن"", ""NN.C.1.M""], [""دی"", ""VB.PC""], [""او"", ""CC""], [""پر"", ""IN""], [""وړاندې"", ""RB""], [""یې"", ""PR.C""], [""هر"", ""JJ""], [""وګړی"", ""NN.C.2""], [""مسوولیت"", ""NN.C.1.M""], [""لري"", ""VB.P""]]"
220,ايف بي ار چيئرمين او نور چارواکي عدالت ته پيش شوي,ايفSبيSارBچيئرمينBاوBنورBچارواکيBعدالتBتهBپيشBشوي,"[[""ايف بي ار"", ""AB""], [""چيئرمين"", ""NN.C.1.M""], [""او"", ""CC""], [""نور"", ""JJ""], [""چارواکي"", ""NN.C.2""], [""عدالت"", ""NN.C.1.M""], [""ته"", ""PT""], [""پيش"", ""NN.C.1.M""], [""شوي"", ""VB.DX""]]"
221,د دې وزارت د معلوماتو په اساس په دې سره په افغانستان کې د کرونا ویروس د مثبتو پېښو شمېر ۴۲۱۵۹ ته پورته شو,دBدېBوزارتBدBمعلوماتوBپهBاساسBپهBدېBسرهBپهBافغانستانBکېBدBکروناSویروسBدBمثبتوBپېښوBشمېرB۴۲۱۵۹BتهBپورتهBشو,"[[""د"", ""IN""], [""دې"", ""DT""], [""وزارت"", ""NN.C.1.M""], [""د"", ""IN""], [""معلوماتو"", ""NN.C.2""], [""په"", ""IN""], [""اساس"", ""NN.C.1.M""], [""په"", ""IN""], [""دې"", ""DT""], [""سره"", ""PT""], [""په"", ""IN""], [""افغانستان"", ""NN.P""], [""کې"", ""PT""], [""د"", ""IN""], [""کرونا ویروس"", ""NN.P""], [""د"", ""IN""], [""مثبتو"", ""JJ""], [""پېښو"", ""NN.C.2""], [""شمېر"", ""NN.C.1.M""], [""۴۲۱۵۹"", ""NB""], [""ته"", ""PT""], [""پورته"", ""RB""], [""شو"", ""VB.DX""]]"
222,د هند د اي پي ایل لوبې په نړۍ کې د کرکټ مشهوري تفریحي او تجارتي سیالۍ بلل کیږي چې کور دننه او د باندې سلګونه زره مینوال لري,دBهندBدBايSپيSایلBلوبېBپهBنړۍBکېBدBکرکټBمشهوريBتفریحيBاوBتجارتيBسیالۍBبللBکیږيBچېBکورBدننهBاوBدBباندېBسلګونهBزرهBمینوالBلري,"[[""د"", ""IN""], [""هند"", ""NN.P""], [""د"", ""IN""], [""اي پي ایل"", ""AB""], [""لوبې"", ""NN.C.1.F""], [""په"", ""IN""], [""نړۍ"", ""NN.C.1.F""], [""کې"", ""PT""], [""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""مشهوري"", ""JJ""], [""تفریحي"", ""JJ""], [""او"", ""CC""], [""تجارتي"", ""JJ""], [""سیالۍ"", ""NN.C.1.F""], [""بلل"", ""VB.INF""], [""کیږي"", ""VB.P""], [""چې"", ""CC""], [""کور"", ""RB""], [""دننه"", ""RB""], [""او"", ""CC""], [""د"", ""IN""], [""باندې"", ""RB""], [""سلګونه"", ""NB""], [""زره"", ""NB""], [""مینوال"", ""NN.C.1.M""], [""لري"", ""VB.P""]]"
223,دا کتاب په عمومي ډول لوستونکي ته دا ځواک ورکوي چې څنګه په سختو حالاتو کې خپلو ټاکلو موخو ته ورسېږي او د خپل مسلک په برخه کې نورو ته د غوره خدمت جوګه شي,داBکتابBپهBعموميBډولBلوستونکيBتهBداBځواکBورکويBچېBڅنګهBپهBسختوBحالاتوBکېBخپلوBټاکلوBموخوBتهBورسېږيBاوBدBخپلBمسلکBپهBبرخهBکېBنوروBتهBدBغورهBخدمتBجوګهBشي,"[[""دا"", ""DT""], [""کتاب"", ""NN.C.1.M""], [""په"", ""IN""], [""عمومي"", ""JJ""], [""ډول"", ""NN.C.1.M""], [""لوستونکي"", ""NN.C.1.F""], [""ته"", ""PT""], [""دا"", ""DT""], [""ځواک"", ""NN.C.1.M""], [""ورکوي"", ""VB.P""], [""چې"", ""CC""], [""څنګه"", ""RB""], [""په"", ""IN""], [""سختو"", ""JJ""], [""حالاتو"", ""NN.C.2""], [""کې"", ""PT""], [""خپلو"", ""JJ""], [""ټاکلو"", ""VB.G""], [""موخو"", ""NN.C.2""], [""ته"", ""PT""], [""ورسېږي"", ""VB.H""], [""او"", ""CC""], [""د"", ""IN""], [""خپل"", ""JJ""], [""مسلک"", ""NN.C.1.M""], [""په"", ""IN""], [""برخه"", ""NN.C.1.F""], [""کې"", ""PT""], [""نورو"", ""RB""], [""ته"", ""PT""], [""د"", ""IN""], [""غوره"", ""JJ""], [""خدمت"", ""NN.C.1.M""], [""جوګه"", ""JJ""], [""شي"", ""VB.H""]]"
224,خو کله چې یو قاچاقبر له هغو جامو څخه په استفاده چې د افغانانو د دود او دستور یو سمبول دی د مخدره موادو قاچاق کوي دا نه یوازې زموږ لپاره د اندېښنې وړ یوه مسله ده بلکې زموږ په فرهنګ باندې هم منفي اغیزه کوي,خوBکلهBچېBیوBقاچاقبرBلهBهغوBجاموBڅخهBپهBاستفادهBچېBدBافغانانوBدBدودBاوBدستورBیوBسمبولBدیBدBمخدرهBموادوBقاچاقBکويBداBنهBیوازېBزموږBلپارهBدBاندېښنېBوړBیوهBمسلهBدهBبلکېBزموږBپهBفرهنګBباندېBهمBمنفيBاغیزهBکوي,"[[""خو"", ""CC""], [""کله"", ""RB""], [""چې"", ""CC""], [""یو"", ""DT""], [""قاچاقبر"", ""NN.C.1.M""], [""له"", ""IN""], [""هغو"", ""DT""], [""جامو"", ""NN.C.2""], [""څخه"", ""PT""], [""په"", ""IN""], [""استفاده"", ""NN.C.1.F""], [""چې"", ""CC""], [""د"", ""IN""], [""افغانانو"", ""NN.C.2""], [""د"", ""IN""], [""دود"", ""NN.C.1.M""], [""او"", ""CC""], [""دستور"", ""NN.C.2""], [""یو"", ""DT""], [""سمبول"", ""NN.C.1.M""], [""دی"", ""VB.PC""], [""د"", ""IN""], [""مخدره"", ""JJ""], [""موادو"", ""NN.C.2""], [""قاچاق"", ""NN.C.1.M""], [""کوي"", ""VB.PX""], [""دا"", ""DT""], [""نه"", ""PT""], [""یوازې"", ""JJ""], [""زموږ"", ""PR.P$""], [""لپاره"", ""PT""], [""د"", ""IN""], [""اندېښنې"", ""NN.C.2""], [""وړ"", ""JJ""], [""یوه"", ""DT""], [""مسله"", ""NN.C.1.F""], [""ده"", ""VB.PC""], [""بلکې"", ""CC""], [""زموږ"", ""PR.P$""], [""په"", ""IN""], [""فرهنګ"", ""NN.C.1.M""], [""باندې"", ""RB""], [""هم"", ""RB""], [""منفي"", ""JJ""], [""اغیزه"", ""NN.C.1.M""], [""کوي"", ""VB.PX""]]"
225,ډیری دا افغانان ویره لري چې که طالبان بیا واک ته ورسیږي په دوي به د غچ اخیستو په خاطر بریدونه وکړي,ډیریBداBافغانانBویرهBلريBچېBکهBطالبانBبیاBواکBتهBورسیږيBپهBدويBبهBدBغچBاخیستوBپهBخاطرBبریدونهBوکړي,"[[""ډیری"", ""NN.C.1.M""], [""دا"", ""DT""], [""افغانان"", ""NN.C.2""], [""ویره"", ""NN.C.1.F""], [""لري"", ""VB.P""], [""چې"", ""CC""], [""که"", ""RP""], [""طالبان"", ""NN.C.2""], [""بیا"", ""RB""], [""واک"", ""NN.C.1.M""], [""ته"", ""PT""], [""ورسیږي"", ""VB.P""], [""په"", ""IN""], [""دوي"", ""PR.P.iii""], [""به"", ""BA""], [""د"", ""IN""], [""غچ"", ""NN.C.1.M""], [""اخیستو"", ""VB.G""], [""په"", ""IN""], [""خاطر"", ""NN.C.1.M""], [""بریدونه"", ""NN.C.2""], [""وکړي"", ""VB.H""]]"
226,استرالیا به اوس له ویسټ انډیز سره د څلورم مقام ګټلو لپاره لوبیږي,استرالیاBبهBاوسBلهBویسټSانډیزBسرهBدBڅلورمBمقامBګټلوBلپارهBلوبیږي,"[[""استرالیا"", ""NN.P""], [""به"", ""BA""], [""اوس"", ""RB""], [""له"", ""IN""], [""ویسټ انډیز"", ""NN.P""], [""سره"", ""PT""], [""د"", ""IN""], [""څلورم"", ""NB""], [""مقام"", ""NN.C.1.M""], [""ګټلو"", ""VB.G""], [""لپاره"", ""PT""], [""لوبیږي"", ""VB.P""]]"
227,دویمه موضوع د سیمې د خلکو د ګټو موضوع ده,دویمهBموضوعBدBسیمېBدBخلکوBدBګټوBموضوعBده,"[[""دویمه"", ""NB""], [""موضوع"", ""NN.C.2""], [""د"", ""IN""], [""سیمې"", ""NN.C.1.F""], [""د"", ""IN""], [""خلکو"", ""NN.C.2""], [""د"", ""IN""], [""ګټو"", ""NN.C.2""], [""موضوع"", ""NN.C.2""], [""ده"", ""VB.PC""]]"
228,"د سږکال سیالۍ په هند کې وې خو دا چې په دې هیواد کې د کرونا دریمې څپې زور واخیست ، مسؤلین مجبور شول چې سیالۍ په نیمایي کې پریږدي او تر بلې نیټې یې وځنډوي","دBسږکالBسیالۍBپهBهندBکېBوېBخوBداBچېBپهBدېBهیوادBکېBدBکروناBدریمېBڅپېBزورBواخیستB،BمسؤلینBمجبورBشولBچېBسیالۍBپهBنیمایيBکېBپریږديBاوBترBبلېBنیټېBیېBوځنډوي","[[""د"", ""IN""], [""سږکال"", ""RB""], [""سیالۍ"", ""NN.C.1.F""], [""په"", ""IN""], [""هند"", ""NN.P""], [""کې"", ""PT""], [""وې"", ""VB.DC""], [""خو"", ""CC""], [""دا"", ""DT""], [""چې"", ""CC""], [""په"", ""IN""], [""دې"", ""DT""], [""هیواد"", ""NN.C.1.M""], [""کې"", ""PT""], [""د"", ""IN""], [""کرونا"", ""NN.P""], [""دریمې"", ""NB""], [""څپې"", ""NN.C.1.F""], [""زور"", ""NN.C.1.M""], [""واخیست"", ""VB.D""], [""،"", ""PU""], [""مسؤلین"", ""NN.C.2""], [""مجبور"", ""JJ""], [""شول"", ""VB.DX""], [""چې"", ""CC""], [""سیالۍ"", ""NN.C.1.F""], [""په"", ""IN""], [""نیمایي"", ""JJ""], [""کې"", ""PT""], [""پریږدي"", ""VB.P""], [""او"", ""CC""], [""تر"", ""IN""], [""بلې"", ""JJ""], [""نیټې"", ""NN.C.1.F""], [""یې"", ""PR.C""], [""وځنډوي"", ""VB.H""]]"
229,"یوازې د محمود کیسه نه ده ، زرګونه پښتانه له دې ډول ستونزو سره مخ دي او اکثره دا ستونزې خپله د پښتنو دولتي چارواکو لخوا ورته جوړېږي","یوازېBدBمحمودBکیسهBنهBدهB،BزرګونهBپښتانهBلهBدېBډولBستونزوBسرهBمخBديBاوBاکثرهBداBستونزېBخپلهBدBپښتنوBدولتيBچارواکوBلخواBورتهBجوړېږي","[[""یوازې"", ""JJ""], [""د"", ""IN""], [""محمود"", ""NN.P""], [""کیسه"", ""NN.C.1.F""], [""نه"", ""PT""], [""ده"", ""VB.PC""], [""،"", ""PU""], [""زرګونه"", ""JJ""], [""پښتانه"", ""NN.C.2""], [""له"", ""IN""], [""دې"", ""DT""], [""ډول"", ""NN.C.1.M""], [""ستونزو"", ""NN.C.2""], [""سره"", ""PT""], [""مخ"", ""NN.C.1.M""], [""دي"", ""VB.PC""], [""او"", ""CC""], [""اکثره"", ""RB""], [""دا"", ""DT""], [""ستونزې"", ""NN.C.2""], [""خپله"", ""JJ""], [""د"", ""IN""], [""پښتنو"", ""JJ""], [""دولتي"", ""JJ""], [""چارواکو"", ""NN.C.2""], [""لخوا"", ""RB""], [""ورته"", ""PR.P.iii""], [""جوړېږي"", ""VB.P""]]"
230,د پولیو یا ګوزڼ دا پېښه هغه مهال معلومه شوه چې یوه پنځلس کلنه نجلۍ د بدن د غړیو د تکلیف له امله کندهار روغتون ته د درملنې لپاره تللې وه,دBپولیوBیاBګوزڼBداBپېښهBهغهSمهالBمعلومهBشوهBچېBیوهBپنځلسBکلنهBنجلۍBدBبدنBدBغړیوBدBتکلیفBلهSاملهBکندهارBروغتونBتهBدBدرملنېBلپارهBتللېBوه,"[[""د"", ""IN""], [""پولیو"", ""NN.C.1.M""], [""یا"", ""CC""], [""ګوزڼ"", ""NN.C.1.M""], [""دا"", ""DT""], [""پېښه"", ""NN.C.1.F""], [""هغه مهال"", ""RB""], [""معلومه"", ""JJ""], [""شوه"", ""VB.DX""], [""چې"", ""CC""], [""یوه"", ""DT""], [""پنځلس"", ""NB""], [""کلنه"", ""FX""], [""نجلۍ"", ""NN.C.1.F""], [""د"", ""IN""], [""بدن"", ""NN.C.1.M""], [""د"", ""IN""], [""غړیو"", ""NN.C.2""], [""د"", ""IN""], [""تکلیف"", ""NN.C.1.M""], [""له امله"", ""RB""], [""کندهار"", ""NN.P""], [""روغتون"", ""NN.C.1.M""], [""ته"", ""PT""], [""د"", ""IN""], [""درملنې"", ""NN.C.1.F""], [""لپاره"", ""PT""], [""تللې"", ""VB.N""], [""وه"", ""VB.DC""]]"
231,د پاکستاني لوري له خوا غځول شوی اغزن تار هم ټول کړی او له ځانه سره وړی دی,دBپاکستانيBلوريBلهSخواBغځولBشویBاغزنBتارBهمBټولBکړیBاوBلهBځانهBسرهBوړیBدی,"[[""د"", ""IN""], [""پاکستاني"", ""JJ""], [""لوري"", ""NN.C.2""], [""له خوا"", ""RB""], [""غځول"", ""VB.INF""], [""شوی"", ""VB.DX""], [""اغزن"", ""JJ""], [""تار"", ""NN.C.1.M""], [""هم"", ""RB""], [""ټول"", ""JJ""], [""کړی"", ""VB.DX""], [""او"", ""CC""], [""له"", ""IN""], [""ځانه"", ""NN.C.1.F""], [""سره"", ""PT""], [""وړی"", ""VB.D""], [""دی"", ""VB.PC""]]"
232,خو طالبان بيا نه په لويه برخه کې دي نه په وړه کې,خوBطالبانBبياBنهBپهBلويهBبرخهBکېBديBنهBپهBوړهBکې,"[[""خو"", ""CC""], [""طالبان"", ""NN.C.2""], [""بيا"", ""RB""], [""نه"", ""PT""], [""په"", ""IN""], [""لويه"", ""JJ""], [""برخه"", ""NN.C.1.F""], [""کې"", ""PT""], [""دي"", ""VB.PC""], [""نه"", ""PT""], [""په"", ""IN""], [""وړه"", ""JJ""], [""کې"", ""PT""]]"
233,غوښتنې یې لا پسې زیاتېږي او په یو ډول غواړي د امریکا په ملاتړ خپل حکومت امارت بیا ژوندی کړی او په ګډه د افغانستان په خاوره غوبل جوړ کړي,غوښتنېBیېBلاBپسېBزیاتېږيBاوBپهBیوBډولBغواړيBدBامریکاBپهBملاتړBخپلBحکومتBامارتBبیاBژوندیBکړیBاوBپهBګډهBدBافغانستانBپهBخاورهBغوبلBجوړBکړي,"[[""غوښتنې"", ""NN.C.1.F""], [""یې"", ""PR.C""], [""لا"", ""RB""], [""پسې"", ""RB""], [""زیاتېږي"", ""VB.P""], [""او"", ""CC""], [""په"", ""IN""], [""یو"", ""DT""], [""ډول"", ""NN.C.1.M""], [""غواړي"", ""VB.P""], [""د"", ""IN""], [""امریکا"", ""NN.P""], [""په"", ""IN""], [""ملاتړ"", ""NN.C.1.M""], [""خپل"", ""JJ""], [""حکومت"", ""NN.C.1.M""], [""امارت"", ""NN.C.1.M""], [""بیا"", ""RB""], [""ژوندی"", ""JJ""], [""کړی"", ""VB.DX""], [""او"", ""CC""], [""په"", ""IN""], [""ګډه"", ""JJ""], [""د"", ""IN""], [""افغانستان"", ""NN.P""], [""په"", ""IN""], [""خاوره"", ""NN.C.1.F""], [""غوبل"", ""NN.C.1.M""], [""جوړ"", ""JJ""], [""کړي"", ""VB.DX""]]"
234,که څه هم څارونکو دا اټکل نه دی کړی چې طالبان به دې له څومره ګټه ترلاسه کوي,کهSڅهBهمBڅارونکوBداBاټکلBنهBدیBکړیBچېBطالبانBبهBدېBلهBڅومرهBګټهBترلاسهBکوي,"[[""که څه"", ""RB""], [""هم"", ""RB""], [""څارونکو"", ""NN.C.2""], [""دا"", ""DT""], [""اټکل"", ""NN.C.1.M""], [""نه"", ""PT""], [""دی"", ""VB.PC""], [""کړی"", ""VB.DX""], [""چې"", ""CC""], [""طالبان"", ""NN.C.2""], [""به"", ""BA""], [""دې"", ""DT""], [""له"", ""IN""], [""څومره"", ""PR.W""], [""ګټه"", ""NN.C.1.F""], [""ترلاسه"", ""JJ""], [""کوي"", ""VB.PX""]]"
235,تردې دمه چا د دغه برید مسولیت نه دی منلی,تردېBدمهBچاBدBدغهBبریدBمسولیتBنهBدیBمنلی,"[[""تردې"", ""RB""], [""دمه"", ""NN.C.1.F""], [""چا"", ""PR.W""], [""د"", ""IN""], [""دغه"", ""DT""], [""برید"", ""NN.C.1.M""], [""مسولیت"", ""NN.C.1.M""], [""نه"", ""PT""], [""دی"", ""VB.PC""], [""منلی"", ""VB.D""]]"
236,يو شمېر اقتصادي شنونکي خو ان په افغانستان کې د بانکونو د سقوط په اړه انديښمن دي,يوSشمېرBاقتصاديBشنونکيBخوBانBپهBافغانستانBکېBدBبانکونوBدBسقوطBپهBاړهBانديښمنBدي,"[[""يو شمېر"", ""RB""], [""اقتصادي"", ""JJ""], [""شنونکي"", ""NN.C.2""], [""خو"", ""CC""], [""ان"", ""RP""], [""په"", ""IN""], [""افغانستان"", ""NN.P""], [""کې"", ""PT""], [""د"", ""IN""], [""بانکونو"", ""NN.C.2""], [""د"", ""IN""], [""سقوط"", ""NN.C.1.M""], [""په"", ""IN""], [""اړه"", ""NN.C.1.F""], [""انديښمن"", ""JJ""], [""دي"", ""VB.PC""]]"
237,چې ټولنیزې پراختیا او د ژوند غوره معیارونو ته په پراخه ازادۍ کې وده ورکوي څرنګه چې د ملګرو ملتونو غړو هیوادونو ژمنه کړې ده چې د دې سازمان په همکارۍ به په نړۍ واله کچه,چېBټولنیزېBپراختیاBاوBدBژوندBغورهBمعیارونوBتهBپهBپراخهBازادۍBکېBودهBورکويBڅرنګهBچېBدBملګروSملتونوBغړوBهیوادونوBژمنهBکړېBدهBچېBدBدېBسازمانBپهBهمکارۍBبهBپهBنړۍBوالهBکچه,"[[""چې"", ""CC""], [""ټولنیزې"", ""JJ""], [""پراختیا"", ""NN.C.1.F""], [""او"", ""CC""], [""د"", ""IN""], [""ژوند"", ""NN.C.1.M""], [""غوره"", ""JJ""], [""معیارونو"", ""NN.C.2""], [""ته"", ""PT""], [""په"", ""IN""], [""پراخه"", ""JJ""], [""ازادۍ"", ""NN.C.1.F""], [""کې"", ""PT""], [""وده"", ""NN.C.1.F""], [""ورکوي"", ""VB.P""], [""څرنګه"", ""RB""], [""چې"", ""CC""], [""د"", ""IN""], [""ملګرو ملتونو"", ""NN.P""], [""غړو"", ""NN.C.2""], [""هیوادونو"", ""NN.C.2""], [""ژمنه"", ""NN.C.1.F""], [""کړې"", ""VB.DX""], [""ده"", ""VB.PC""], [""چې"", ""CC""], [""د"", ""IN""], [""دې"", ""DT""], [""سازمان"", ""NN.C.1.M""], [""په"", ""IN""], [""همکارۍ"", ""NN.C.1.F""], [""به"", ""BA""], [""په"", ""IN""], [""نړۍ"", ""NN.C.1.F""], [""واله"", ""FX""], [""کچه"", ""NN.C.1.F""]]"
238,"عبدالحفيظ له دولت څخه غواړي ، چې ځوانانو ته کاري فرصتونه برابر کړي ، ځکه د ده په وينا دا د اعتياد کچې په کنترول او مخنيوي کې خورا ډېره مرسته کولای شي","عبدالحفيظBلهBدولتBڅخهBغواړيB،BچېBځوانانوBتهBکاريBفرصتونهBبرابرBکړيB،BځکهBدBدهBپهBويناBداBدBاعتيادBکچېBپهBکنترولBاوBمخنيويBکېBخوراBډېرهBمرستهBکولایBشي","[[""عبدالحفيظ"",""NN.P""],[""له"",""IN""],[""دولت"",""NN.C.1.M""],[""څخه"",""PT""],[""غواړي"",""VB.P""],[""،"",""PU""],[""چې"",""CC""],[""ځوانانو"",""NN.C.2""],[""ته"",""PT""],[""کاري"",""FX""],[""فرصتونه"",""NN.C.2""],[""برابر"",""JJ""],[""کړي"",""VB.DX""],[""،"",""PU""],[""ځکه"",""RB""],[""د"",""IN""],[""ده"",""VB.PC""],[""په"",""IN""],[""وينا"",""NN.C.1.F""],[""دا"",""DT""],[""د"",""IN""],[""اعتياد"",""NN.C.1.M""],[""کچې"",""JJ""],[""په"",""IN""],[""کنترول"",""NN.C.1.M""],[""او"",""CC""],[""مخنيوي"",""NN.C.2""],[""کې"",""PT""],[""خورا"",""JJ""],[""ډېره"",""JJ""],[""مرسته"",""NN.C.1.F""],[""کولای"",""VB.DX""],[""شي"",""VB.H""]]"
239,وسله والو طالبانو له تېرو شاوخوا دریو میاشتو راهېسې په دغه ولایت کې ماشومانو ته د ګوزڼ ضد واکسین پر ټولو پروګرامونو بندیز لګولی,وسلهSوالوBطالبانوBلهBتېروBشاوخواBدریوBمیاشتوBراهېسېBپهBدغهBولایتBکېBماشومانوBتهBدBګوزڼBضدBواکسینBپرBټولوBپروګرامونوBبندیزBلګولی,"[[""وسله والو"", ""NN.C.2""], [""طالبانو"", ""NN.C.2""], [""له"", ""IN""], [""تېرو"", ""JJ""], [""شاوخوا"", ""RB""], [""دریو"", ""NB""], [""میاشتو"", ""NN.C.2""], [""راهېسې"", ""RB""], [""په"", ""IN""], [""دغه"", ""DT""], [""ولایت"", ""NN.C.1.M""], [""کې"", ""PT""], [""ماشومانو"", ""NN.C.2""], [""ته"", ""PT""], [""د"", ""IN""], [""ګوزڼ"", ""NN.C.1.M""], [""ضد"", ""JJ""], [""واکسین"", ""NN.C.1.M""], [""پر"", ""IN""], [""ټولو"", ""RB""], [""پروګرامونو"", ""NN.C.2""], [""بندیز"", ""NN.C.1.M""], [""لګولی"", ""VB.D""]]"
240,د یاد وزارت د معلوماتو په اساس په دې سره په افغانستان کې د کرونا ویروس د مثبتو پېښو شمېر ۴۱۶۳۳ ته پورته شو,دBیادBوزارتBدBمعلوماتوBپهBاساسBپهBدېBسرهBپهBافغانستانBکېBدBکروناSویروسBدBمثبتوBپېښوBشمېرB۴۱۶۳۳BتهBپورتهBشو,"[[""د"", ""IN""], [""یاد"", ""JJ""], [""وزارت"", ""NN.C.1.M""], [""د"", ""IN""], [""معلوماتو"", ""NN.C.2""], [""په"", ""IN""], [""اساس"", ""NN.C.1.M""], [""په"", ""IN""], [""دې"", ""DT""], [""سره"", ""PT""], [""په"", ""IN""], [""افغانستان"", ""NN.P""], [""کې"", ""PT""], [""د"", ""IN""], [""کرونا ویروس"", ""NN.P""], [""د"", ""IN""], [""مثبتو"", ""JJ""], [""پېښو"", ""NN.C.2""], [""شمېر"", ""NN.C.1.M""], [""۴۱۶۳۳"", ""NB""], [""ته"", ""PT""], [""پورته"", ""RB""], [""شو"", ""VB.DX""]]"
241,د ملي مصالحې عالي شورا مشر ډاکټر عبدالله عبدالله ویلي دي چې طالبانو د خبرو له لارې د روانې لانجې حل نه غواړي,دBمليBمصالحېBعاليBشوراBمشرBډاکټرSعبداللهSعبداللهBویليBديBچېBطالبانوBدBخبروBلهBلارېBدBروانېBلانجېBحلBنهBغواړي,"[[""د"", ""IN""], [""ملي"", ""JJ""], [""مصالحې"", ""NN.C.2""], [""عالي"", ""JJ""], [""شورا"", ""NN.C.1.F""], [""مشر"", ""JJ""], [""ډاکټر عبدالله عبدالله"", ""NN.P""], [""ویلي"", ""VB.D""], [""دي"", ""VB.PC""], [""چې"", ""CC""], [""طالبانو"", ""NN.C.2""], [""د"", ""IN""], [""خبرو"", ""NN.C.2""], [""له"", ""IN""], [""لارې"", ""NN.C.1.F""], [""د"", ""IN""], [""روانې"", ""JJ""], [""لانجې"", ""NN.C.1.F""], [""حل"", ""NN.C.1.M""], [""نه"", ""PT""], [""غواړي"", ""VB.P""]]"
242,د حزب اسلامي دغه لوړپوړي غونډه په ورته وخت کې د پاکستاني صدراعظم عمران خان د وروستيو څرګندونو پر وړاندې غبرګونونه هم نقد کړل,دBحزبSاسلاميBدغهBلوړپوړيBغونډهBپهBورتهBوختBکېBدBپاکستانيBصدراعظمBعمرانSخانBدBوروستيوBڅرګندونوBپرBوړاندېBغبرګونونهBهمBنقدBکړل,"[[""د"", ""IN""], [""حزب اسلامي"", ""NN.P""], [""دغه"", ""DT""], [""لوړپوړي"", ""JJ""], [""غونډه"", ""NN.C.1.F""], [""په"", ""IN""], [""ورته"", ""PR.P.iii""], [""وخت"", ""NN.C.1.M""], [""کې"", ""PT""], [""د"", ""IN""], [""پاکستاني"", ""JJ""], [""صدراعظم"", ""NN.C.1.M""], [""عمران خان"", ""NN.P""], [""د"", ""IN""], [""وروستيو"", ""JJ""], [""څرګندونو"", ""NN.C.2""], [""پر"", ""IN""], [""وړاندې"", ""RB""], [""غبرګونونه"", ""NN.C.2""], [""هم"", ""RB""], [""نقد"", ""JJ""], [""کړل"", ""VB.INF""]]"
243,"د افغانستان د عامې روغتیا وزارت وايي ، په تیرو ۲۴ ساعتونو کې په هیواد کې د کرونا ویروس ۷۵ نورې مثبتې پېښې ثبت شوي شوي دي","دBافغانستانBدBعامېBروغتیاBوزارتBواييB،BپهBتیروB۲۴BساعتونوBکېBپهBهیوادBکېBدBکروناSویروسB۷۵BنورېBمثبتېBپېښېBثبتBشويBشويBدي","[[""د"", ""IN""], [""افغانستان"", ""NN.P""], [""د"", ""IN""], [""عامې"", ""JJ""], [""روغتیا"", ""NN.C.1.M""], [""وزارت"", ""NN.C.1.M""], [""وايي"", ""VB.P""], [""،"", ""PU""], [""په"", ""IN""], [""تیرو"", ""JJ""], [""۲۴"", ""NB""], [""ساعتونو"", ""NN.C.2""], [""کې"", ""PT""], [""په"", ""IN""], [""هیواد"", ""NN.C.1.M""], [""کې"", ""PT""], [""د"", ""IN""], [""کرونا ویروس"", ""NN.P""], [""۷۵"", ""NB""], [""نورې"", ""RB""], [""مثبتې"", ""JJ""], [""پېښې"", ""NN.C.1.F""], [""ثبت"", ""NN.C.1.M""], [""شوي"", ""VB.DX""], [""شوي"", ""VB.DX""], [""دي"", ""VB.PC""]]"
244,د متحده ایالاتو او طالبانو د موافقې له مخې به,دBمتحدهBایالاتوBاوBطالبانوBدBموافقېBلهSمخېBبه,"[[""د"", ""IN""], [""متحده"", ""JJ""], [""ایالاتو"", ""NN.C.2""], [""او"", ""CC""], [""طالبانو"", ""NN.C.2""], [""د"", ""IN""], [""موافقې"", ""JJ""], [""له مخې"", ""RB""], [""به"", ""BA""]]"
245,د ننۍ لوبې پچه زمبابوې وګټله خو د توپ اچونې پرېکړه یې وکړه,دBننۍBلوبېBپچهBزمبابوېBوګټلهBخوBدBتوپSاچونېBپرېکړهBیېBوکړه,"[[""د"", ""IN""], [""ننۍ"", ""JJ""], [""لوبې"", ""NN.C.1.F""], [""پچه"", ""NN.C.1.F""], [""زمبابوې"", ""NN.P""], [""وګټله"", ""VB.D""], [""خو"", ""CC""], [""د"", ""IN""], [""توپ اچونې"", ""NN.C.1.F""], [""پرېکړه"", ""NN.C.1.F""], [""یې"", ""PR.C""], [""وکړه"", ""VB.DX""]]"
